SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
94,Catheter,"A thin tube inserted into a body cavity to drain fluid, especially into the bladder to extract urine. The procedure is called catheterisation. ",ኣብ ግዜ ሕክምና ናብ ሽንቲ መሸኒ ትቦ ሰውነትና ዝኣቱ ቀጢን ትቦ ,ኣብ ግዜ ሕክምና ናብ ሽንቲ መሸኒ ትቦ ሰውነትና ዝኣቱ ቀጢን ትቦ ክይኑ ሽንቲ ንምሻን ወይ ንምውፃእ ዝኽእል መሳርሒ እዩ ::,,,,
95,Cavity,"A cavity is a space in the human body which contains different organs, fluids and other structures. ",መትሓዚ ጎድጋዳ ነገር,ካቪቲ ማለት ኣብ ሰውነትና ዝርከብ  ክፍቲ ቦታ ኮይኑ ዝተፈላለዩ ኣካላት ሰውነት ወይ ፈሳሲ ዝሕዝ ወይ ዝሓቁፍ እዩ::,,,,
96,Cells,"Cells are the tiny building blocks of living matter, which can only be seen through a microscope. ",ዋህዮ,ወህዮ ማለት እቲ ዝነኣሰን ረቂቅን ኣካል ሰውነት ደቂ ሰባት እዩ:: ብማይክሮስኮፕ ጥራሕ ድማ ይርአ::,,,,
97,Census,A census is a collection of information on everyone in a population.,ቆፀራ ህዝቢ,ቀፀራ ስነ ህዝቢ ማለት ምእካብ ሓበሬታ ነብሲ ወከፍ ሰብ ማለት እዩ::,,,,
98,Cervix,The narrow neck at the upper end of the vagina. ,ኣፈት ወይ ኣፍ ማህፀን,ኣብ ላዕለወይ ጫፍ ብልዕቲ ጋል ኣነስተይቲ ዝረከብ ፀቢብ ክሳድ ኣካል ማህፀን እዩ::,,,,
99,Channel,A channel is the physical means or the media by which the message travels from a sender to a receiver. The channel used to communicate a health message influences what information can be conveyed and how. ,መተሓላለፊ መልእኽቲ ,መተሓላለፊ ማለት  መልእኽቲ ካብ ልኣኻይ ናብ ተቀባልይ መተሓላለፊ መንገዲ እዩ:: መልእኽቲ መተሓላለፊ ናይ ጥዕና ኣስተምህሮ ናብ ማሕበረሰብ ንምትሕልላፍን ጥዕና ሰባት ንምሕላውን ይጠቅም::,,,,
100,Chemoprophylaxis,"Chemo' refers to medical drugs, and 'prophylaxis' means 'an action taken to prevent a disease'. Chemoprophylaxis refers to the drugs given to exposed and susceptible hosts to prevent them from developing an infection. ",ሕማም ንምክልኻል ኣቀዲምካ ዝውሰድ መድሓኒት ,ኬሞ ማለት መድሓኒት እንትኸውን ፕሮፊላክሲስ ማለት ድማ ምክልኻል ማለት እዩ:: ኬሞ ፕሮፊላክሲስ ድማ ንሕማም ብቀሊሉ ተጋለፅቲን ተጠቃዕትን ንዝኾኑ ሳባት ኣቀዲምካ ሕማም ንምክልኻል ዝወሃብ መድሓኒት እዩ::,,,,
101,Chemotherapy,Treatment of disease by medicinal drugs and other chemical substances.,ብመድሓኒት ምፍዋስ ምሕካም,ሕማም ንምፍዋስ ዝውሃብ ሕክምናዊ መድሓኒት እዩ::,,,,
102,Chilling,"Chilling involves reducing food temperatures, but only to approximately -1ºC. Refrigerators for cold storage/chilling are normally used at 0ºC to +8ºC. ",ምዝሓል,ምዝሓል ማለት ምንካይ ሙቀት ናብ ኣስታታ  ነጋቲቭ ሓደ ዲግሪ ሰሊሸስ እዩ:: ምግቢ ይኸን መድሓኒተ ከይተባላሸው ካብ 0 ክሳብ ፖዘቲቭ 8 ድግሪ ሰሊሸስ ኣብ ዘሎ ዛሐሊ ኣብ ወሽጢ ፍሪጅ ይቅመጡ::,,,,
103,Chlamydia,"Chlamydia is also one of the most common Sexually Transmitted Infections (STIs), and is caused by bacteria called Chlamydia trachomatis. ",ክላይሚድያ ዝበሃል ተህዋስ,ሓደ ካብቶም ብፆታዊ ርክብ ዝመሓላለፍ ሓማም ዘምፅእ ባክተርያ ክላይሚድያ ትራኮማቲስ ይበሃል::,,,,
104,Chloasma,"In pregnant women, darkening of the skin over the forehead, bridge of the nose, or cheekbones.",ኣብ ግንባር ጥንስቲ ኣደ ዝወፅእ ፀሊም ምልክት እዩ ,ኣብ እዋን ጥንሲ ኣብ ግንባር ወይ ድማ ኣብ ኣፍንጫ ኢሉውን ኣብ ምዕጉርቲ ዝወፅእ ፀሊም ምልክት እዩ,,,,
105,Chlorination,"One of the most effective and widely used methods for disinfecting water and making it safe to drink. Whatever the level, it is important that the correct quantity of chlorine is added to remove all impurities. ",ማይ ብክሎሪን ምሕካም,ማይ ንምሕካም ብሰፊሑ እንጥቀመሉን ዊፂኢታዊን  ከሚካል ክሎሪን ይበሃል:: መጠን ምብልሻው እቲ ማይ ኣብ ግምት ብምእታው ትኽክለኛ መጠን ክሎሪን ብምእታው ማይ ምሕካም ይካኣል እዩ::,,,,
106,Choice,"Choice' is to decide freely whether to use contraception and, if so, which method. ",ምርጫ,ዘድልይካ ሜላ መከላኸሊ ጥንሰ ንምጥቃምን ንምምራፅን ነፃ ኮይንኻ ምውሳን,,,,
107,Choking,"Choking is defined as an obstruction of the upper part of the windpipe (trachea) resulting in an acute life-threatening emergency. A person whose airway is obstructed will quickly become unconscious and die due to suffocation (lack of oxygen), unless the obstruction is quickly removed.",ትቦ ኣየር መእተዊ ሰውነትና እንትዕፆ, ላዕለዋይ ክፋል ትቦ ኣየር ወይ ትራክያ ብዝኸነ ነገር እንትዕፆ ወይ እንትዕበስ ቅፅበታዊ ንህይወት ኣስጋኢ ነገር እንትፍጠር ማለት እዩ:: ትቦ ኣይሩ ዝተዓፀወ ሰብ ብሕፅረት ኣየር ተሎ ወነኡ ይስሕት ኢሉ ውን ክመወት ይኽእል ህፁፅ ሕክምናዊ ረዲኤት እንተዘይረኺቡ:: ,,,,
108,Cholera,An acute diarrhoeal disease that affects the intestines and can kill vulnerable patients within a few hours if they are not treated quickly. ,ቅፅበታዊ ውፅኣት ,ቅፅበታዊ ውፀኣት ንመዓናጡ ወዲ ሰብ ብምጉዳእ ብፍላይ ድማ በቀሊሉ ተጠቃዕቲ ንዝኾኑ ሰባት ብእዋኑ ሕክምና እንተዘይረኺቦም ኣብ ውሽጢ ሓፂር ሰዓታት ህይወት ከሕልፍ ይኽእል::,,,,
109,Chronic,Long-term of frequently recurring. A chronic disease is one that lasts a long time.   ,ሕዱር ሕማም,ንብዙህ ጊዜ ዝፀንሕ ሕማም ማለት እዩ::,,,,
110,Classification,"Arrange systematically in classes or groups. E.g. IMNCI classifications are action-oriented illness categories which enable a healthcare provider to determine if a child should be urgently referred to a health centre, or can be treated at home. ",ምምዳብ ,ብሜላ ወይ ብጥበብ ሕማማት ብጉጅለ ምምዳብ:: ንኣብነት ኣይኤምኤንሲኣይ ሕማማት ህፃውንቲ ብቀሊሉ ንምሕካምን ንዝሐሸ ሕክምና ንምልኣኽን ዘኽእል ኣመዳድባ ሕማማት እዩ:: ,,,,
111,Cleanliness,"Refers to cleaning:  removing dirt, wastes or unwanted things from the surface of objects using detergents and necessary equipment. ",ፅርየት ,ርስሓት ወይ ድማ ዘይድልዩ ነገራት ካብ ሕክምናዊ ኣቁሑት ብባራኪና ወይ ሳሙና ወይ ድማ ዴቶል ካልኦት ኣድለይቲ ናውቲ ብምጥቃም ርስሓት ምውጋድ::,,,,
112,Cluster,"A larger-than-expected number of cases with similar symptoms, but without clear evidence (at this time) that they are connected in any way.",ብዙሕ እክብ ዝበለ ,ትፅቢት ካብ ዝግበረሉ ቁፅሪ ንላዕሊ ተመሳሳሊ ምልክታት ዘለዎምን ንፁር መረዳእታ ዘይብለም ሕሙማት ኣብ ሓደ ከባቢን ኣብ ሓድ እዋንን እንትረአ::,,,,
113,Co-infection,Simultaneous infection of a single cell by two or more virus particles. A globally common coinfection involves tuberculosis and HIV. ,ተወሳኺ ረኽሲ ,ኣብ ሓደ እዋን ሓድ ዋህዮ ብኽልተን ካብ ንላዕልን ብሕማም ዝምፅኡ ተህዋስያን ብሓድ ግዘ እንትጥቃዕ ማለት እዩ::ንኣብነት ብኤችኣይቪ ዝተትሓዘ ሰብ ብሕማም ቲቪ እንትጥቃዕ::,,,,
114,Coagulation,The formation of particles in a liquid by adding chemicals. ,ምርጋእ ,ናብ ፈሳሲ ንጥረ ነገር ብምውሳኽ ዝፍጠር ምርጋእ ማለት እዩ::,,,,
115,Colostrum,The first milk a mother's breasts produce. It is yellowish in colour.  It is rich in nutrients for the baby and also has maternal antibodies which protect the newborn from infection.,ልግዐ,እቲ ናይ መጀመርታ ዝፈስስ ወይ ዝወፅእ ፃባ  ጡብ  ኣደ  እዩ :: ሕብሩ ድማ ብጫ ይመስል:: ብስነ ማዓዛን ካብ ኣድ ዝመሓላልፍ መከላኸሊ ሕማማት  ዝማዕበለ እዩ:: ንናፅላ እውን ካብ ሕማም ይከላኸል::,,,,
116,Comfort,A state of being at ease and content. ,ምችዊ ,ቅልል ኢሉ ዝስመዐካ::,,,,
117,Communication,"The transmission of information from one person to another, or from a source to a destination. ",ርክብ ,ሓበታ ካብ ሓደ ሰብ ናብ ካሊእ ሰብ ምትሕልላፍ ወይ ድማ ካብ ምንጩ ናብ ተቀባል ምሕላፍ,,,,
118,Community,"A group of people, based on common values and norms, who live within a geographically defined area and who share a common language, culture or values.",ሕብረተሰብ,ኣብ ሓድ ከባቢ ብሓባር ዝነብሩ ሰባት ኮይኖም ናይ ሓባር ቃንቃን እሴትን ባህሊን ዘለዎም እዮም::,,,,
119,Component,Each of the parts of which a thing is being composed (formed)., ክፋል,ሕድሕድ ክፋላት ብሓድ እንትጥመሩን ሓደ ነገር እንትምስርቱን,,,,
120,Compost,"A mixture of plant and animal waste that is allowed to rot for use as a fertiliser. Hay, dead leaves, vegetable waste, animal droppings, and manure all make good compost.",ድኽዒ,ዝበስበሰ ኣትክልትን ፍታን እንስሳታትን ብሓደ ተሓዊሶም ከም ድኹዒ እንትንጥቀመሎም:: ካብ ድርቃ ዘሓረረ ቆፅልታት ዝተባላሸው ኣትክልትን ፍታን ከፍትን ፅቡቅ ድኽዒ ይዳሎ::,,,,
121,Composting,Composting is a controlled process in which this type of waste is collected in an open pit or heap and is decomposed by natural biological processes.,ምድላው ድኽዒ ,ዝተፈላለዩ ንድኽዒ ግብኣት ዝኾኑ ኣብ ጉድጋድ ብምእካብ ብተፈጥሮኣዊ መንገዲ  ክብስብስ ብምግባር ድኽዒ ምድላው ::,,,,
122,Conditions,An illness or abnormality.  ,ኩነታት,ምሕማም ወይ ድማ ዘይምጥዓይ::,,,,
123,Conduction,"The loss of heat. E.g. Newborns lose heat by conduction when placed on a cold table, or weighing scale. ",ምቆት ዝወስድ, ሙቀት ካብ ሰብነት ምውፃእ:: ኣብነት ናፅላ ኣብ ዙሑል ጣውላ ወይ ዙሑል ሚዛን እንትቅመጥ ካብ ሰውነቱ ሙቀት ይወፅእ::,,,,
124,Confidentiality,To be assured that any personal information will remain confidential or private. It is the control of disclosure of personal health information and limiting access of these personal matters to others. ,ምስጥራውነት,ሚስጥር ሕሙም ምሕላው::,,,,
125,Confusion,The state of being unclear in one's mind about something. ,ግልፂ ዘይኮነ ,ብዛዕባ ሓድ ነገር ግልፂ ዘይምኻን:: ,,,,
126,Conjunctiva,A very thin transparent membrane that lines the inside of the eyelids and covers the sclera (white part of the eye).,ኮንጃክታይቫ ,ረቂቅ ሽፋን ውሽጠዊ ዓይኒን ፃዕዳ ዓይንን  ,,,,
127,Constipation,"Dry, hard, difficult stools (bowel movements) that do not come often.",ድርቀት,ድርቀት ሰገራ ወይ ቀልቀል,,,,
128,Consumables,"Items that are used within a short period of time, so they need to be regularly replaced. They include all the medicines, drugs, vitamin supplements and infusion fluids (for intravenous use) that you will be trained to give to your patients in specific circumstances.",ኣብ ሓፂር ገዘ ተጠቂምካ ዘውዳእ ነገር,ኣብ ሒፂር እዋን ተጠቂምካ ዝሃላቂ እንትኾን በቢ እዋኑ ክትካእ ኣለዎ:: እዙይ ንኹሎም ዓይነት መድሓኒታት ቫይታሚናትን ብደም ሱር ዝዋሃብ ፈሳስታት የካትት::,,,,
129,Contaminant,"A minor substance, material or agent that is unwanted in the environment and may or may not be harmful. ",ዝብክል ነገር,ደቂቅ ነገር ኮይኑ ኣብ ከባቢ ዘይድለን ንኸባቢ ክጎድእን ከይጎድእን ዝኽእል::,,,,
130,Contamination,"The presence of an infectious agent or harmful microorganisms  E.g. Food can be contaminated by unhygienic practices in storage, handling, and transportation.",ዝተበከለ,ሕማም ከምፅእ ዝኽእል ወይ ድማ ተፃባኣይ ረቂቅ ተህውስያን ኣብ እንጥቀመሎም ነገራተ እንትህሉ:: ንኣብነት  ምግቢ ብሰንኪ ፅሬቱ ዘይተሓለወ ኣታሕዛ እንትብከል::,,,,
131,Continuity,To receive follow-up or continuous care for as long as needed. ,ቀፀልነት,ከም ኣድላይነቱ ቀፃልነት ዘለዎ ክትትል ወይ ክንክን ምግባር ማለት እዩ::,,,,
132,Contraindication,A situation or condition when a particular medicine should not be taken (Many medicines are contraindicated in pregnancy).,ዝፃረር ነገር,ኣብ ውስን ኩነታት ክውሰዱ ዝይግበኦም መድሓኒታት ንኣብነት ኣብ እዋን ጥንስ ክውስዱ ዘይግባኦም መድሓኒታት ,,,,
133,Control,"Control is a basic managerial function involving setting standards, evaluating against standards and taking corrective action. It is the process of regulating service activities so that your performance conforms to expected standards and goals, and it ensures that the necessary corrective action is taken place. ",ቁፅፅር,ቂፅፅር ማለት መሰረታዊ ስራሕ ኣመራርሓ እንትኸውን  ደረጃታት ምውፃእ ዝወፁ ደረጃታት ምግምጋምን መስተኻኸሊ ስጉምቲ ምውሳድ ማለት እዩ:: እዚ ከይዲ ምቁፅፃር ስራሕቲ ግልጋልት ኣብ ቀፃሊ ስራሕትኻ ብኣግቡ ብምፍፃም ሽቶ ንምዕዋት ይሕግዝ::,,,,
134,Convection,The loss of heat from the newborn's skin to the surrounding air.  E.g. When the baby is exposed to cool surrounding air or to a draught from open doors and windows or a fan. ,,,,,,
135,Convulsion,"An uncontrolled fit. A sudden jerking of part or all of the person's body, as in meningitis or epilepsy.",ምንቅጥቃጥ,ክትቆፃፀሮ ዘይትኽእል ምንቅጥቃጥ:: ብድንገት  ኣብ ሓደ ክፋል ውይ ድማ ኣብ ሙሉእ ሰብነት ዝፍጠር ምንቅጥቃጥ እዩ:: ንኣብነት ኣብ ሕማም ኣንቅፂን ኣብ ዘውድቅ ሕማምን ይኽሰት::,,,,
